Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
81,00d48089,Barton,Elementary School,Northwest,1962,1960,"50,645",0.141,Fair,59.95%,Low,259,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom",1966,0,0,0,0,0,0,0,0,0,0,0,4.644
241,a909b094,Lancaster Elementary,K-8,Northwest,1956,1950,"59,873",0.002,Great,59.11%,Low,331,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1956,0,2006,7952,0,0,0,0,0,0,7952,1,4.237
93,7c72633a,Bruce,Elementary School,Northwest,1961,1960,"56,197",0.033,Great,58.85%,Low,286,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom",1988,0,0,0,0,0,0,0,0,0,0,0,7.093
51,22a7664f,Milw Academy of Chinese Languages (MACL),K-8,East,1991,1990,"102,013",0.053,Good,58.45%,Low,491,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.468
66,64867ee9,Green Tree Preparatory Academy,High School,Northwest,1972,1970,"242,597",0.076,Good,57.67%,Low,496,"Basketball court, Baseball field, Grass field, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,13.833
295,b62de993,Zablocki,Elementary School,Southwest,1914,1910,"90,400",0.061,Good,57.17%,Low,295,"Age-appropriate playground, Basketball court, Soccer, Hardscape surface, Outdoor classroom",1925,0,0,0,0,0,0,0,0,0,0,0,3.176
32,e2c6b717,South Div HS,High School,Southwest,1977,1970,"391,389",0.06,Good,56.97%,Low,842,"Basketball court, Grass field, Tennis court, Football, Multi-sport Court (ex. tennis + Volley + basketball etc), Multi-sport Field",0,0,0,0,0,0,0,0,0,0,0,0,7.26
148,db607a8d,Elm Creative Arts,Elementary School,East,1991,1990,"88,797",0.25,Fair,56.96%,Low,319,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,1.374
244,f67e777e,Grant Gordon Learning Center,Elementary School,Central,1892,1890,"78,013",0.001,Great,56.79%,Low,46,"Age-appropriate playground, Basketball court, Hardscape surface",1913,0,1957,0,0,0,0,0,0,0,0,0,3.04
337,2870dc28,Kluge,Elementary School,Northwest,1953,1950,"121,720",0.034,Great,55.75%,Low,344,"Age-appropriate playground, Basketball court, Grass field, Outdoor track, Hardscape surface, Outdoor classroom",1955,57543,2004,6635,0,0,0,0,0,0,64178,2,7.858
307,36fca812,Riverwest,Elementary School,East,1957,1950,"62,015",0.021,Great,54.35%,Low,275,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,2.422
104,1e488432,Cass,K-8,East,1905,1900,"100,800",0.01,Great,52.72%,Low,281,"Age-appropriate playground, Basketball court, Hardscape surface, Edible Garden",1929,0,0,0,0,0,0,0,0,0,0,0,0.584
53,b9d2b964,Carmen Northwest - Leased,High School,Northwest,1959,1950,"178,123",0.071,Good,52.65%,Low,586,"Basketball court, Grass field, Hardscape surface",0,0,0,0,0,0,0,0,0,0,0,0,8.192
313,bcdcd09b,Riley Montessori,Elementary School,Southwest,1916,1910,"84,300",1,,52.37%,Low,265,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Outdoor track, Hardscape surface, Outdoor classroom, Edible Garden",1918,0,0,0,0,0,0,0,0,0,0,0,1.883
61,9df9276c,WCLL,High School,East,1991,1990,"81,263",0.033,Great,51.80%,Low,431,"Age-appropriate playground, Basketball court, Baseball field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.713
62,cc9ed413,Milw French Immersion School,Elementary School,Central,1932,1930,"197,682",0.068,Good,51.31%,Low,431,"Age-appropriate playground, Basketball court, Hardscape surface",0,0,0,0,0,0,0,0,0,0,0,0,2.903
46,c62fc3a1,Project Stay,High School,East,1884,1880,"43,830",0.02,Great,50.00%,Very Low,78,,0,0,0,0,0,0,0,0,0,0,0,0,0.571
235,49d425a8,Milw Excellence Academy (McNair) - Leased,Vacant,Central,1953,1950,"64,255",0.166,Fair,49.18%,Very Low,269,"Basketball court, Hardscape surface, Outdoor classroom",1930,22332,1961,19289,0,0,0,0,0,0,41621,2,4.059
33,833a947e,Vincent HS,High School,Northwest,1979,1970,"431,769",0.031,Great,48.56%,Very Low,708,"Basketball court, Tennis court, Soccer, Football, Multi-sport Field, Outdoor track, Outdoor classroom, Edible Garden",1981,53969,0,0,0,0,0,0,0,0,53969,1,72.193
298,3d872873,Carver,K-8,East,1958,1950,"74,877",0.01,Great,48.37%,Very Low,297,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1965,0,0,0,0,0,0,0,0,0,0,0,3.005
238,a2b5bf43,LaFollette,K-8,Central,1898,1890,"73,180",0.002,Great,48.23%,Very Low,218,"Age-appropriate playground, Basketball court, Hardscape surface",1958,15182,2004,5908,0,0,0,0,0,0,21090,2,3.692
24,f34d50f2,North Div HS,High School,Central,1978,1970,"394,827",0.035,Great,47.50%,Very Low,389,"Grass field, Tennis court, Soccer, Football, Multi-sport Field, Hardscape surface, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,8.384
26,95bbd0b8,Pulaski High,High School,Southwest,1938,1930,0,0.041,Great,47.25%,Very Low,945,"Basketball court, Baseball field, Grass field, Soccer, Softball, Football, Outdoor track",1973,0,1980,0,0,0,0,0,0,0,0,0,18.202
94,67877f13,Bryant,Elementary School,Northwest,1962,1960,"54,073",0.226,Fair,47.13%,Very Low,197,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1966,0,0,0,0,0,0,0,0,0,0,0,13.007
218,34438f11,Holmes,K-8,East,1966,1960,"83,911",0.049,Great,45.58%,Very Low,289,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.327
83,1b6847d9,King Elementary,K-8,East,1894,1890,"92,712",0.055,Good,43.95%,Very Low,298,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1915,0,2004,27566,0,0,0,0,0,0,27566,1,1.714
8,5996ad9b,Marshall HS,High School,Northwest,1961,1960,"358,985",0.062,Good,42.80%,Very Low,692,"Basketball court, Baseball field, Grass field, Tennis court, Soccer, Softball, Football, Multi-sport Field, Outdoor track",0,0,0,0,0,0,0,0,0,0,0,0,13.954
